condition,seed,epoch,epoch_choice_loss,epoch_rt_loss,epoch_soft_rt_penalty,epoch_history_penalty,epoch_history_supervision,epoch_per_trial_history,epoch_history_distillation,epoch_reward_prediction,epoch_drift_supervision,epoch_non_decision_supervision,epoch_drift_magnitude,epoch_wfpt_loss,epoch_twin_supervision,epoch_adaptive_control_regularization,epoch_evidence_preservation,history_teacher_alpha,mean_plastic_stay_tendency,mean_win_stay_tendency,mean_lose_stay_tendency,noise,mean_bound
raw_no_control,123,1,0.4654966250810164,21.82808016259301,0.0,0.0,0.0,0.0,0.0,0.21516985199940256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08049556955297683,0.04695686683286211,1.0096514225006104,1.2257820963859558
raw_no_control,123,2,0.4497702867727898,21.703192677083873,0.0,0.0,0.0,0.0,0.0,0.1698602121557152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11193113153699052,0.11120515366603141,1.002692699432373,1.3047647309303283
raw_no_control,123,3,0.4214372924805685,21.559091916642927,0.0,0.0,0.0,0.0,0.0,0.15153282542545427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11838440509770205,0.13199851022854012,1.0183237791061401,1.244065487384796
raw_no_control,123,4,0.40374718450602126,21.660394177152522,0.0,0.0,0.0,0.0,0.0,0.14960428001553944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1100399769437363,0.12269800517973042,1.0207034349441528,1.2457673048973084
raw_no_control,123,5,0.40339469635336966,21.50322739150235,0.0,0.0,0.0,0.0,0.0,0.1496051228975402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10583803400584345,0.08504300625316767,1.0306589603424072,1.2152170515060425
raw_no_control,123,6,0.4043613997089314,21.572829399585224,0.0,0.0,0.0,0.0,0.0,0.1497503416262037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09990363393493278,0.08399473352038211,1.0399750471115112,1.2108827018737793
raw_full_control,123,1,0.4265182702548833,21.901010264225583,0.0,0.0,0.0,0.0,0.0,0.2144947847561856,0.0,0.0,0.0,0.0,0.0,0.01136030329812209,0.0006270938387060749,0.0,0.11874782411716722,0.014566160313966275,0.04511558359093568,1.0151077508926392,1.2545235633850098
raw_full_control,123,2,0.433123806031678,21.705974149841143,0.0,0.0,0.0,0.0,0.0,0.16459194389970733,0.0,0.0,0.0,0.0,0.0,0.009489274981225135,0.0005098201028703591,0.0,0.1172779749408676,0.006864986679308256,0.06461431139838496,0.9936171770095825,1.3509474325180053
raw_full_control,123,3,0.4220654324133526,21.48345574736595,0.0,0.0,0.0,0.0,0.0,0.15076813309075443,0.0,0.0,0.0,0.0,0.0,0.010400853871862759,0.0005739514964265422,0.0,0.1178450238302537,0.023200764976905573,0.012804644847085123,1.0030202865600586,1.284779841899872
raw_full_control,123,4,0.4117154916085958,21.590388352900867,0.0,0.0,0.0,0.0,0.0,0.1490351321043205,0.0,0.0,0.0,0.0,0.0,0.009968405203683356,0.0005519175898964677,0.0,0.11644359853383637,0.01629723738221998,0.0238374875289501,1.0023764371871948,1.2830014777183534
raw_full_control,123,5,0.40709423641654735,21.537325705818553,0.0,0.0,0.0,0.0,0.0,0.14886960571156385,0.0,0.0,0.0,0.0,0.0,0.010586899485064975,0.0005886051188871873,0.0,0.11507413468506796,0.029997153640198657,0.012123954161260254,1.0095478296279907,1.2484612441062928
raw_full_control,123,6,0.4056417180155112,21.57966824486914,0.0,0.0,0.0,0.0,0.0,0.1486157568163827,0.0,0.0,0.0,0.0,0.0,0.011095165076303183,0.0006167750785402002,0.0,0.11405310532756181,0.025009603855281944,0.010675432491598448,1.0212962627410889,1.2523579502105713
choice_only_full_control,123,1,0.4216730860237297,21.99843054838385,0.0,0.0,0.0,0.0,0.0,0.20742956246541633,0.0,0.0,0.0,0.0,0.0,0.013795979790560995,0.0007521487450008924,0.0,0.11821762326652784,0.030171667410023743,0.028950708365331115,1.0688652992248535,1.1345695900917052
choice_only_full_control,123,2,0.4013362885082616,22.157520276108546,0.0,0.0,0.0,0.0,0.0,0.1544484398697959,0.0,0.0,0.0,0.0,0.0,0.011443915432046273,0.0006362561195665994,0.0,0.11665087775424685,0.026485349686824127,0.040874407412367385,1.1045666933059692,1.045708498954773
choice_only_full_control,123,3,0.39318862152149486,22.232702734486576,0.0,0.0,0.0,0.0,0.0,0.15050883095508838,0.0,0.0,0.0,0.0,0.0,0.010172868983344678,0.0005694512402293931,0.0,0.11376883305422182,0.044704841823944484,0.029561562662375272,1.1452968120574951,0.9640388989448547
choice_only_full_control,123,4,0.3863580403966385,22.340601395877957,0.0,0.0,0.0,0.0,0.0,0.1502012648935348,0.0,0.0,0.0,0.0,0.0,0.008804288759017091,0.0004941594832485238,0.0,0.11064156328004524,0.0546583052584317,0.025998225308970304,1.153193473815918,0.9843897664546967
choice_only_full_control,123,5,0.39084167441813017,22.292812279484014,0.0,0.0,0.0,0.0,0.0,0.1497152240315616,0.0,0.0,0.0,0.0,0.0,0.007844136734629463,0.000436121379059377,0.0,0.1073552611435931,0.061708896775500045,0.027983066154630254,1.1821285486221313,0.9297081291675567
choice_only_full_control,123,6,0.3883143324233498,22.348336959483735,0.0,0.0,0.0,0.0,0.0,0.14997401635579485,0.0,0.0,0.0,0.0,0.0,0.007686109934781511,0.0004277711267905528,0.0,0.10666077139799066,0.06145834639107333,0.04798706292046164,1.1977920532226562,0.9258098614215851
