subject,lab,model,nll
DY_010,danlab,long_evidence,0.2619575553567423
DY_010,danlab,long_history,0.26137748715684395
DY_010,danlab,outcome_history,0.2973682563223039
DY_011,danlab,combined_evidence,0.3134183223584798
DY_011,danlab,combined_history,0.31401517551488745
DY_011,danlab,evidence_history,0.34155768036552187
DY_011,danlab,learning_evidence,0.33481458528670527
DY_011,danlab,learning_history,0.3367729220361019
DY_011,danlab,long_evidence,0.3142979370274544
DY_011,danlab,long_history,0.31513737132522796
DY_011,danlab,outcome_history,0.3431425868234193
FMR009,angelakilab,combined_evidence,0.4258215023330888
FMR009,angelakilab,combined_history,0.42740183981276925
FMR009,angelakilab,evidence_history,0.41828515730713905
FMR009,angelakilab,learning_evidence,0.4228720164312792
FMR009,angelakilab,learning_history,0.42579086011826583
FMR009,angelakilab,long_evidence,0.4255814397445929
FMR009,angelakilab,long_history,0.42715533936318006
FMR009,angelakilab,outcome_history,0.420497792170516
FMR010,angelakilab,combined_evidence,0.4660640156557453
FMR010,angelakilab,combined_history,0.4640223661621385
FMR010,angelakilab,evidence_history,0.46801399751559136
FMR010,angelakilab,learning_evidence,0.4651573828654242
FMR010,angelakilab,learning_history,0.4594906554349135
FMR010,angelakilab,long_evidence,0.4662765062076127
FMR010,angelakilab,long_history,0.4641286522998379
FMR010,angelakilab,outcome_history,0.4625582434826857
FMR011,angelakilab,combined_evidence,0.5027945126308433
FMR011,angelakilab,combined_history,0.5040299724890203
FMR011,angelakilab,evidence_history,0.5113445780535092
FMR011,angelakilab,learning_evidence,0.5314121208923576
FMR011,angelakilab,learning_history,0.533415041965799
FMR011,angelakilab,long_evidence,0.503007274326493
FMR011,angelakilab,long_history,0.5045388360386633
FMR011,angelakilab,outcome_history,0.5117599136224137
FMR014,angelakilab,combined_evidence,0.40057822404451804
FMR014,angelakilab,combined_history,0.3990507662134847
FMR014,angelakilab,evidence_history,0.40992730560455365
FMR014,angelakilab,learning_evidence,0.41362009243492903
FMR014,angelakilab,learning_history,0.41105566803813487
FMR014,angelakilab,long_evidence,0.40056419171513796
FMR014,angelakilab,long_history,0.3990030135805326
FMR014,angelakilab,outcome_history,0.4070024232988619
FMR019,angelakilab,combined_evidence,0.39928380330741137
FMR019,angelakilab,combined_history,0.3979131071249746
FMR019,angelakilab,evidence_history,0.3998499478911432
FMR019,angelakilab,learning_evidence,0.4008485897980103
